Name	GeneName	adjp	log2fc
ENSDARG00000068951	si:ch211-219a15.4	3.7413286087192305e-9	-2.382975432557243
ENSDARG00000113076	si:ch211-182p11.1	4.979869121642727e-9	-1.4297759609849117
ENSDARG00000097157	si:ch211-207n23.2	6.296929799526084e-9	-1.0491125672709012
ENSDARG00000094198	CR354556.1	7.2348180354592905e-9	0.5368545572513594
ENSDARG00000100106	CR385054.1	7.7184710006594e-9	-1.144817041786692
ENSDARG00000099555	foxo1a	8.242749853630747e-9	0.40927581346248776
ENSDARG00000100826	hif1al	2.1161063422998043e-8	0.3813334401548895
ENSDARG00000103199	si:dkey-247k7.2	2.5963484712456572e-8	-1.223153036209868
ENSDARG00000058285	cpt1b	3.409606191109846e-8	0.4157426576982832
ENSDARG00000030896	foxq1a	4.621972579989725e-8	-0.7985946819383261
ENSDARG00000104398	si:ch73-343g19.4	6.408072423124974e-8	-1.9855723632395264
ENSDARG00000076196	si:ch211-226h7.6	8.08824975097411e-8	-1.677545830809824
ENSDARG00000079497	tcima	1.5276363227806336e-7	-0.5085050155168896
ENSDARG00000101040	ccl20a.3	1.58428501630858e-7	-2.0331427128516757
ENSDARG00000054160	zgc:113625	1.6504640833254188e-7	-1.8013023577103893
ENSDARG00000052779	zgc:153932	2.60742554857847e-7	-1.6788222933942918
ENSDARG00000074526	zbtb16b	6.237112583737307e-7	0.5406284577533254
ENSDARG00000088641	grn2	9.224576907256468e-7	-1.4511411523194524
ENSDARG00000102558	pde6ha	9.224576907256468e-7	0.5053666683932402
ENSDARG00000035178	gna14	9.42286273651032e-7	-0.8901875450736051
ENSDARG00000069946	itga6b	1.090848734538485e-6	0.5197625731527228
ENSDARG00000045768	cry1a	1.232474650831328e-6	0.2891972239228979
ENSDARG00000056511	arr3a	1.27961060098076e-6	0.3832728509279693
ENSDARG00000038321	zgc:172053	1.334694871173988e-6	-1.933833197966008
ENSDARG00000035859	angptl4	1.6758590304348152e-6	0.4745609888648301
ENSDARG00000101849	adipor2	1.9160211006757513e-6	0.2527385193558007
ENSDARG00000091260	mylk4a	1.9168597484745133e-6	0.43618182007037065
ENSDARG00000019122	he1.2	2.161906418359516e-6	-5.686913477183847
ENSDARG00000103435	sorbs1	2.2126104631107645e-6	0.24606189539427975
ENSDARG00000006588	zgc:111983	3.1230870202395516e-6	-0.904126591484335
ENSDARG00000091131	cry3b	4.547979015298634e-6	0.4278666278799092
ENSDARG00000103720	NA	5.316190148423374e-6	-0.4859875315144958
ENSDARG00000117407	AL954191.2	5.882861242998447e-6	0.49552346658251345
ENSDARG00000028507	itgb4	6.346381441996641e-6	0.4910030147512802
ENSDARG00000094460	CR354556.3	6.476327320466584e-6	0.4169946230215541
ENSDARG00000036820	mgll	6.476327320466584e-6	-0.35967731890322835
ENSDARG00000100185	elovl7b	6.506952461095038e-6	-0.8420144761042253
ENSDARG00000105693	CR354588.1	6.506952461095038e-6	0.2881016749110165
ENSDARG00000042874	phlda2	8.62822939621995e-6	-0.4871442523551103
ENSDARG00000098256	si:ch73-329n5.6	8.639079321404344e-6	-0.7408481084468155
ENSDARG00000075048	lonrf1	1.3288058000220783e-5	0.3121960860429354
ENSDARG00000105341	si:dkey-9l20.3	1.543670745777237e-5	0.7074096624782137
ENSDARG00000092778	si:ch73-338o16.4	1.6854568134491046e-5	-2.7581814029684573
ENSDARG00000104225	ndel1b	1.8249928884889953e-5	0.32391118986615014
ENSDARG00000069566	mucms1	2.2887428072124815e-5	-0.8916897103668505
ENSDARG00000098108	dusp2	2.47020034481059e-5	-0.35022260006142397
ENSDARG00000074378	junba	2.701847580001201e-5	-0.4868165480531475
ENSDARG00000004748	zgc:100868	2.7583994546344707e-5	-0.6346575295198447
ENSDARG00000041947	styk1b	2.920329380967321e-5	-0.6533104025786076
ENSDARG00000102798	mcm2	3.880844389579955e-5	-0.3364787799407586
ENSDARG00000041051	mid1ip1a	5.462729201744935e-5	-0.4473618199648246
ENSDARG00000088234	si:ch211-217k17.12	5.534323466988818e-5	-1.555584573159671
ENSDARG00000074635	abca1a	5.534323466988818e-5	0.3040414993977956
ENSDARG00000040649	prickle1a	5.802985780985403e-5	0.4594452789031625
ENSDARG00000041294	noxo1a	6.0804177159301154e-5	-0.7226770029169781
ENSDARG00000102175	hamp	6.532856695202971e-5	-0.9762935915649252
ENSDARG00000104823	znf648	1.3247613543571803e-4	-0.4252266141710699
ENSDARG00000007769	sult5a1	1.44118104104203e-4	-1.0205939390845835
ENSDARG00000055644	prss60.2	1.4618683225244372e-4	-0.7014459608840141
ENSDARG00000061682	bicc1a	1.601828097397338e-4	0.4682694231011785
ENSDARG00000076914	lacc1	1.617497954893133e-4	-1.0930101938952803
ENSDARG00000077982	elf3	1.84000108461809e-4	-0.5271999691306511
ENSDARG00000052115	ehf	2.2152085587302732e-4	-1.2419379555401593
ENSDARG00000035309	entpd3	2.3590529485655712e-4	0.34086284227728686
ENSDARG00000029766	nr1i2	2.3590529485655712e-4	0.5833478162594209
ENSDARG00000088439	gm2a	2.508465489701105e-4	-0.38534098938115335
ENSDARG00000033832	ampd1	2.5268285616248873e-4	-0.25280000098229916
ENSDARG00000099411	zgc:158343	2.5268285616248873e-4	-0.5289733131020523
ENSDARG00000020573	ddx3xa	2.895161198084325e-4	0.14038003752063147
ENSDARG00000090526	zgc:158404	3.3455768426380363e-4	-0.8249985963884124
ENSDARG00000090969	cbln18	3.729128618806122e-4	0.5737657595825072
ENSDARG00000040705	glsb	3.739655747958504e-4	0.26437734402673124
ENSDARG00000068374	si:ch211-132b12.7	3.8182845932850065e-4	-0.4242540986823919
ENSDARG00000039677	dsc2l	3.8759724339522725e-4	0.4946093905137454
ENSDARG00000096874	tmem176l.3b	3.937780849346733e-4	-0.401292641070408
ENSDARG00000041691	bhlhe41	4.085810124183587e-4	-0.3801800631355244
ENSDARG00000117613	CABZ01030033.1	4.163030420946552e-4	-0.7688378286549741
ENSDARG00000017780	rorcb	4.24216471563672e-4	0.2881630249967304
ENSDARG00000102430	opn6a	4.2911278391306087e-4	-0.497735890836803
ENSDARG00000029075	pfkfb4b	4.2911278391306087e-4	0.3858550042816104
ENSDARG00000053091	DAB2	4.2911278391306087e-4	0.261271539228305
ENSDARG00000036848	slc43a2a	4.4583989321147506e-4	0.4550292534766429
ENSDARG00000075016	apobb.2	4.494295465149814e-4	-1.0301824665928547
ENSDARG00000021443	zfp36l1b	4.551404798741266e-4	-0.2203607292736677
ENSDARG00000088741	BX322530.1	5.625760666256467e-4	0.26965217388001766
ENSDARG00000087911	psme4a	5.625760666256467e-4	0.4189460805943588
ENSDARG00000055080	rbm4.2	5.869359105950571e-4	-0.2564733510799139
ENSDARG00000062315	sik2b	6.06930825143414e-4	0.20717724082168615
ENSDARG00000028096	cldn23a	6.06930825143414e-4	-0.4085872332975694
ENSDARG00000057408	CABZ01067232.1	6.307694108053384e-4	0.6158531531991699
ENSDARG00000078093	zgc:172065	6.536651615370034e-4	-1.6946376054735983
ENSDARG00000103846	hspa5	6.991353439720029e-4	-0.3449091867975585
ENSDARG00000100020	pim1	7.077125835648584e-4	-0.24804004241697036
ENSDARG00000094511	ccl20b	7.30903556606491e-4	-1.2910385449384507
ENSDARG00000069381	si:ch211-125e6.5	7.30903556606491e-4	-1.93994911624276
ENSDARG00000105643	adgrg1	7.381472164641383e-4	0.5551322928722094
ENSDARG00000088589	ponzr3	7.645557940404164e-4	0.989880359236564
ENSDARG00000099954	plekhm1	7.896547386698187e-4	0.27410661659776464
ENSDARG00000090833	igfbp6b	9.362967230094448e-4	0.5442060268193019
ENSDARG00000038643	alas2	9.887038827687891e-4	0.5728704436905353
ENSDARG00000117266	FO904966.1	9.980877494721143e-4	-1.044633739823566
ENSDARG00000096031	si:ch73-6k14.2	0.00105856483718619	0.4618651174771667
ENSDARG00000020298	btg2	0.00105856483718619	-0.4260446822623606
ENSDARG00000098375	polr1a	0.0011120411374667	0.2292503551159984
ENSDARG00000017251	smtlb	0.00117609462593846	2.0999234881501954
ENSDARG00000034852	nt5c2l1	0.00117609462593846	0.43280765281769784
ENSDARG00000092044	si:dkey-22f5.9	0.00118008341678026	-0.8329464546140735
ENSDARG00000030616	nfe2l1a	0.0012217910224427001	0.3087104160134525
ENSDARG00000100515	dusp1	0.00126925197279288	-0.4668383960923955
ENSDARG00000105590	si:cabz01007794.1	0.00152140021396298	0.4384974958141042
ENSDARG00000109240	CABZ01067080.1	0.00152140021396298	-1.967659700993125
ENSDARG00000054848	pdk4	0.00164767600334147	0.4407488728186635
ENSDARG00000057652	dbpb	0.00171160886608448	-0.3084108968270814
ENSDARG00000005332	lipib	0.00174838180917591	-0.6230906374655244
ENSDARG00000105731	CR788316.1	0.00184566031503015	-0.7315323798141071
ENSDARG00000103428	ogdhb	0.00186836904923505	0.2485640856426096
ENSDARG00000093750	cd180	0.0018934543778863	-1.0569176797225628
ENSDARG00000093082	LO018605.1	0.00194028389297841	-2.3269012477184283
ENSDARG00000074508	si:dkey-28e7.3	0.00202235335820891	-0.24610757661816543
ENSDARG00000094965	nfil3-5	0.00205538543456073	0.23339080462547887
ENSDARG00000030472	slc16a5a	0.00207852048544365	0.7284238264214117
ENSDARG00000054849	bcat2	0.00208857748917319	-0.34495112867110855
ENSDARG00000016391	calcoco1b	0.00216975843446442	0.293208512824213
ENSDARG00000040076	pycard	0.00236690391824119	-0.40962010322065023
ENSDARG00000091757	adgrf6	0.00258714744999079	-0.3947395613445855
ENSDARG00000010602	zgc:112294	0.00277853011664433	-0.5805545241341739
ENSDARG00000052170	uap1	0.00287361762492626	-0.4104526940257014
ENSDARG00000076945	dsg2.1	0.00289038790309159	0.5322303127050471
ENSDARG00000020239	lpin1	0.00312895170776493	0.2502708521293255
ENSDARG00000069006	tle3b	0.00314050198624999	-0.19277791333022404
ENSDARG00000079059	retreg1	0.00333740663933602	0.7356081352395495
ENSDARG00000078567	lonrf1l	0.00391811349125732	0.2735641224432736
ENSDARG00000114704	KCTD20	0.00439205029298854	-0.3615705693057458
ENSDARG00000075812	kcnt2	0.00453863344391921	0.9638288741244968
ENSDARG00000037872	foxk1	0.00458678615718135	0.2770613788954426
ENSDARG00000063475	abcg1	0.00458678615718135	0.3479007571446197
ENSDARG00000043492	irf1a	0.00460030253879158	-1.315084202727335
ENSDARG00000002710	ncl	0.00475583905768334	0.15170204020540357
ENSDARG00000088539	ponzr2	0.00504342930860024	-0.7042179435834479
ENSDARG00000058302	sh3bgrl	0.00541938196210137	-0.23012028829899417
ENSDARG00000037409	tmem144a	0.00548559363084388	-0.43509947311427727
ENSDARG00000067567	SLC6A13	0.00548559363084388	0.7969860746196954
ENSDARG00000018491	pdia4	0.00574257273942504	-0.3913988388917635
ENSDARG00000103979	calr3a	0.00576933504049493	-0.26874237588491784
ENSDARG00000040004	PKHD1L1	0.00583919718316281	-0.926036884462603
ENSDARG00000013950	pdf	0.00603650145400682	-0.5866165164898905
ENSDARG00000099717	si:rp71-1h20.9	0.00627944015994691	-0.9780969797181904
ENSDARG00000103658	hivep1	0.00647464020114479	0.23623142762542343
ENSDARG00000055854	nr4a3	0.00652704568326536	0.4606999175583236
ENSDARG00000015506	pibf1	0.00656615157421426	0.29071998481698746
ENSDARG00000045143	hbbe2	0.00656615157421426	0.3709373466386281
ENSDARG00000099923	zgc:154054	0.00668181423205391	-0.335682689991147
ENSDARG00000074390	tmem176l.4	0.00677901811640859	-0.484296845844
ENSDARG00000091860	zgc:194007	0.00689713964783816	-0.9706502669102428
ENSDARG00000044356	tp63	0.00707838791566685	0.3275316467446981
ENSDARG00000020581	otofb	0.00728949983839652	0.29754504584801394
ENSDARG00000020594	txlnba	0.00728949983839652	0.22383330879758256
ENSDARG00000099448	sh3d21	0.00736672478205217	-0.39697859677113473
ENSDARG00000111833	CABZ01046996.1	0.00736672478205217	-1.7874725063986123
ENSDARG00000013794	klf11b	0.00736672478205217	0.41490864102885433
ENSDARG00000026925	nos2a	0.00753047726894736	-1.324745514370888
ENSDARG00000051861	pkp3a	0.00753047726894736	0.32266145788922396
ENSDARG00000063297	abcb6a	0.00773076549753285	0.5363569289616953
ENSDARG00000063509	lrrc58b	0.00820650996973178	0.3212132747493398
ENSDARG00000009242	fev	0.0095299331242519	-0.6329350702141489
ENSDARG00000092719	AL954655.2	0.00968545847884663	-0.6610224474547782
ENSDARG00000018149	slc38a4	0.00989252480254945	0.20622845051770505
ENSDARG00000103333	baiap2b	0.01002527434768002	0.4379916103989956
ENSDARG00000062080	shc2	0.0103630361447106	0.5450564185359009
ENSDARG00000011407	col2a1b	0.01038981614948368	0.2105266232185271
ENSDARG00000026329	arhgap29a	0.01038981614948368	0.3149739423906359
ENSDARG00000104713	zgc:165653	0.0105072173064658	0.4297111423938432
ENSDARG00000060609	cd109	0.0106088634276648	0.42435670073263504
ENSDARG00000012435	spic	0.01086256075491684	-1.2642172940284926
ENSDARG00000038891	AL954146.1	0.01099797587362254	0.5117043806121163
ENSDARG00000024204	mcm3	0.01117212494602272	-0.35994518167182266
ENSDARG00000056141	coq10b	0.01118941453253176	0.19831383782065423
ENSDARG00000036943	golph3l	0.01118941453253176	-0.34416277838783005
ENSDARG00000041433	si:dkey-7c18.24	0.01118941453253176	-0.6745480255810239
ENSDARG00000077060	rbm6	0.01118941453253176	-0.2107261721239476
ENSDARG00000092714	si:ch211-266a5.12	0.01175321674517902	-1.0644542149910614
ENSDARG00000091792	akap12a	0.01179620452886809	0.3702320791494738
ENSDARG00000025428	socs3a	0.01188716284357228	-0.958629836915023
ENSDARG00000054827	ssuh2.4	0.01235374379615338	-0.6689941659537065
ENSDARG00000070331	muc5.1	0.01242006215582609	-0.4714213608977488
ENSDARG00000074168	tasor2	0.01242006215582609	0.25784364564626594
ENSDARG00000013522	pck1	0.01258804625036929	0.30847189729030994
ENSDARG00000015164	mknk2b	0.01269126406869623	0.28842913899208583
ENSDARG00000077264	wdr43	0.01269126406869623	0.17819861561805514
ENSDARG00000040306	otomp	0.01276789016500139	0.6568131487612038
ENSDARG00000060854	kctd3	0.01287543560444475	0.4430971141019394
ENSDARG00000036414	si:ch73-335l21.1	0.01329339936108789	0.2265860621046263
ENSDARG00000095409	si:ch211-226h7.8	0.01357346558999254	-1.3647534794494267
ENSDARG00000094792	twf2a	0.01357346558999254	0.25242670850769466
ENSDARG00000102364	si:dkey-202l22.6	0.01372206446273754	0.8432476906761364
ENSDARG00000070480	agr2	0.0137372838989961	-0.4802455932214904
ENSDARG00000031616	g6pca.1	0.01379130112751695	0.4287031217686499
ENSDARG00000008275	klhl24b	0.01395149672548437	0.3601920328522544
ENSDARG00000051915	pde5ab	0.01407919827153384	0.6955717086214692
ENSDARG00000052859	chp1	0.01421929621374896	0.4801687206349215
ENSDARG00000117485	FO681323.1	0.01450037904563057	0.4535203156713793
ENSDARG00000102138	foxa1	0.01501664922149738	-0.384383081825402
ENSDARG00000070717	slc25a18	0.01559698648882554	0.22417490158947237
ENSDARG00000028098	fut9d	0.01559698648882554	0.5301552623539186
ENSDARG00000094879	si:dkey-277m11.2	0.01559698648882554	-0.8092561561782234
ENSDARG00000031588	si:dkey-239b22.1	0.01691356412808049	-0.7648602232575364
ENSDARG00000059035	porb	0.01721159287483282	0.23885965555226657
ENSDARG00000073970	mctp2b	0.01765192783124898	-0.5358620180973058
ENSDARG00000043279	aqp12	0.01820122383994999	-0.3769950623479138
ENSDARG00000098121	FP101882.1	0.01858809210846231	-0.29012123747889906
ENSDARG00000075676	fndc7b	0.01858809210846231	0.3680152188088136
ENSDARG00000079332	AL928650.1	0.01871964268504523	-1.8780938673455183
ENSDARG00000090337	pprc1	0.01871964268504523	0.32873049350425115
ENSDARG00000093687	si:dkey-193c22.1	0.01907055258439114	-0.5119361677703753
ENSDARG00000055172	si:ch211-256m1.8	0.0191370403693007	0.3692006299597624
ENSDARG00000035694	stm	0.01938011482908195	0.17402500133872503
ENSDARG00000099148	bzw1b	0.01938011482908195	0.37785658446851944
ENSDARG00000068006	gck	0.01963334749234587	-1.7152139182057466
ENSDARG00000103485	card14	0.02005470215805637	-0.3897299965721897
ENSDARG00000023176	tdo2b	0.02008475331479296	0.27144047682683475
ENSDARG00000104732	mlycd	0.02036547269043919	0.42570868847841414
ENSDARG00000071555	zgc:153675	0.0205526657223216	-0.3393551184566045
ENSDARG00000005913	tgm1l3	0.0205526657223216	-0.4087413874845495
ENSDARG00000110192	CABZ01081535.1	0.0205526657223216	0.8220565104260756
ENSDARG00000062054	cpt1ab	0.02061065515392353	0.20366139880305237
ENSDARG00000091801	serpinb14	0.02061065515392353	0.4629222607072157
ENSDARG00000068947	si:ch211-264e16.1	0.02061065515392353	1.7841362393253664
ENSDARG00000012297	cnga3b	0.02063328451871466	0.6967771140608038
ENSDARG00000099803	pik3c2g	0.02063328451871466	-0.4673308807667264
ENSDARG00000103295	cyp3a65	0.0208479914956854	0.30808446323633903
ENSDARG00000020645	slc7a3a	0.02122584206328993	0.16648952037508566
ENSDARG00000001953	pfkfb3	0.02132205776928592	0.45966207643693
ENSDARG00000079009	abca1b	0.02137993043256642	0.39951219651885667
ENSDARG00000062132	cyp4v8	0.02137993043256642	-0.2343222704803196
ENSDARG00000003570	hsp90b1	0.02163585882285816	-0.22628453176881175
ENSDARG00000078108	dok1a	0.02163585882285816	0.7433572393179272
ENSDARG00000075831	slc7a8a	0.02163585882285816	0.17322166763086064
ENSDARG00000099149	hs3st3b1a	0.02199837186451161	0.46941906124856914
ENSDARG00000018898	zfand5a	0.02212190253003811	0.24775762242043403
ENSDARG00000117450	FO834828.2	0.02248335203878584	0.8257766226175528
ENSDARG00000088377	rp1l1b	0.02296188705231826	0.5882811515697166
ENSDARG00000042458	rfc4	0.02296188705231826	-0.3646523715435582
ENSDARG00000078694	phlpp1	0.02340971595403107	0.20310981858461327
ENSDARG00000075837	si:dkey-1d7.3	0.02341814083390213	0.2917068148198256
ENSDARG00000040100	si:dkey-95h12.1	0.02350470355161604	0.46424125146451906
ENSDARG00000033160	nr1d1	0.02350470355161604	-0.2493272926365746
ENSDARG00000098258	SLC16A7	0.02366364010900087	0.42235314818404146
ENSDARG00000052783	cdc42ep3	0.02412086099044127	-0.28033257289470054
ENSDARG00000020228	usf2	0.02412086099044127	-0.16924792951822493
ENSDARG00000095796	si:dkey-87o1.2	0.02425312952429791	-0.45783808861134906
ENSDARG00000103459	evplb	0.02425312952429791	0.2503515861948437
ENSDARG00000067796	clpxb	0.02439353517978241	0.31533749383791715
ENSDARG00000101637	ccnd1	0.02439353517978241	-0.17726065565904126
ENSDARG00000045070	itgb3b	0.02469329431349328	0.7845813147510591
ENSDARG00000028027	trim63a	0.02483741211164384	0.23526244707074653
ENSDARG00000020107	usp2a	0.02501622574622255	0.13374290090179208
ENSDARG00000094345	si:dkey-261l7.2	0.02520322798035833	-0.8295385505242383
ENSDARG00000077157	synpo2b	0.02544549716709509	-0.3651991733222886
ENSDARG00000074490	casc4	0.02605769444325476	-0.18715652857622747
ENSDARG00000039243	zgc:152791	0.02609445495433875	-1.3926095755076917
ENSDARG00000095046	pold2	0.02609445495433875	-0.4184902874648227
ENSDARG00000044827	wnt7aa	0.02609445495433875	-0.26722709651301035
ENSDARG00000062221	arap1a	0.0266755843188131	-0.4240811002645327
ENSDARG00000055504	si:ch211-212k18.7	0.02673909035329811	-0.3359592016796332
ENSDARG00000052658	pptc7b	0.02673909035329811	0.6231722046521985
ENSDARG00000062788	irg1l	0.02702408172089776	-1.251132811326096
ENSDARG00000054746	uggt1	0.02702408172089776	-0.31816919173672836
ENSDARG00000071475	aox5	0.0271976496086292	-0.361456701808701
ENSDARG00000035257	akr1a1a	0.0271976496086292	-0.49784231003845497
ENSDARG00000044155	mafaa	0.02763954543510761	-0.2634042674661292
ENSDARG00000031702	prkg1b	0.02763954543510761	0.17335889954417502
ENSDARG00000056196	slc2a2	0.02827189736618167	-0.1946607953630361
ENSDARG00000045946	sec24d	0.02827189736618167	0.32977296451544413
ENSDARG00000011648	snrpd1	0.02831576106780951	-0.35103934584562263
ENSDARG00000030157	mybpc2a	0.02855180325043494	0.32451760330506874
ENSDARG00000100270	FP085414.1	0.02938899520574071	-0.30565547277700933
ENSDARG00000076386	epdl1	0.02970224397363373	-0.26801077372931886
ENSDARG00000058543	lama5	0.03012083264902876	0.2984621734348798
ENSDARG00000060340	si:dkey-157l19.2	0.03012083264902876	0.7023383195322846
ENSDARG00000041381	arntl2	0.03012083264902876	0.4457269340764504
ENSDARG00000095245	si:ch211-157j23.2	0.03017919604562886	-1.6148871029193903
ENSDARG00000101778	ca5a	0.03062391194159358	0.386059515918537
ENSDARG00000051785	dhx33	0.03107006572905303	0.4526147709862904
ENSDARG00000032571	il20ra	0.03107006572905303	-0.4830508785405215
ENSDARG00000031929	stard14	0.03107006572905303	-0.35856866539270166
ENSDARG00000044550	hif1al2	0.03107006572905303	0.4006766613971625
ENSDARG00000039392	wnk1b	0.03142935994670749	0.2128801092378944
ENSDARG00000036135	bbox1	0.03151164588004409	0.3355847573592273
ENSDARG00000029290	stx11b.1	0.03240652236827167	-0.38644375412174614
ENSDARG00000093347	si:ch211-239f4.6	0.03253865959496313	-0.8606030274462374
ENSDARG00000095475	BX649377.1	0.03267544883566353	-0.9113528168180272
ENSDARG00000097706	birc6-as2	0.03295980444831053	-0.3488540589108293
ENSDARG00000054879	six3b	0.03319333862166305	-0.28695600548579464
ENSDARG00000098387	tmem176l.3a	0.03341247248571043	-0.26360677548399436
ENSDARG00000043818	CASKIN2	0.0336836631428386	0.5622253334180206
ENSDARG00000019507	mcm5	0.03405475129632203	-0.320110314369911
ENSDARG00000012789	plek2	0.03451424457453964	0.7449639604376661
ENSDARG00000044545	zgc:77262	0.03463166854393044	-0.15798195059339437
ENSDARG00000057241	tnfsf10	0.03484315663997988	-0.30897969333150443
ENSDARG00000030270	tnnt3a	0.03488354832127524	-0.24137105480539656
ENSDARG00000006202	erbb3a	0.03488354832127524	0.289801102468128
ENSDARG00000018399	rps6kb1a	0.03522907450437861	0.3158670974512031
ENSDARG00000089237	vsig10l	0.03522907450437861	0.7481244557242789
ENSDARG00000079939	jmjd1cb	0.0355710041411552	0.1707633581401239
ENSDARG00000013946	ivns1abpb	0.0355710041411552	0.1579841103085342
ENSDARG00000045015	cyp27b1	0.0355710041411552	-0.7936537443301789
ENSDARG00000012881	slc4a1a	0.03605741985868923	0.494399731346362
ENSDARG00000041607	eif4ebp3l	0.03640851637895181	0.24899948716875583
ENSDARG00000071014	s100u	0.036600531598437507	-0.27472943226129826
ENSDARG00000090142	si:dkey-94l16.4	0.03677781486812896	0.5512354226861447
ENSDARG00000028119	sumo3a	0.03677781486812896	-0.20157723122186844
ENSDARG00000016904	bckdk	0.03677781486812896	0.16889422002189525
ENSDARG00000104719	abcc1	0.03717730008644453	0.28186161229748646
ENSDARG00000038729	s100z	0.03749363955360584	0.5178208015560049
ENSDARG00000016858	smad7	0.03756057995738558	-0.26990456623320697
ENSDARG00000101126	atad5b	0.03810836341284582	-0.7573195550801579
ENSDARG00000105209	NA	0.03845698726542147	0.15862195747335783
ENSDARG00000013670	hyou1	0.03845698726542147	-0.22528123363712668
ENSDARG00000095011	si:ch211-67n3.9	0.03879128386743066	0.8282012742679559
ENSDARG00000090255	phlpp2	0.03880129892718209	1.0377877608012305
ENSDARG00000068421	ttc9b	0.03975396449690847	0.5268376726047785
ENSDARG00000117419	CABZ01086029.1	0.04040434309907619	-0.4295562416761842
ENSDARG00000059610	gpr146	0.04103921636382583	0.17902520759799917
ENSDARG00000094678	si:dkey-9i23.6	0.04114423355359825	-0.7508694090012041
ENSDARG00000037495	rtn4rl2b	0.04114423355359825	0.3320462973567918
ENSDARG00000093186	si:dkey-30j10.5	0.04129244374862999	-2.163556780478028
ENSDARG00000101512	tmx4	0.04129244374862999	0.3804794911353086
ENSDARG00000039218	gpr101	0.0425540780477472	0.6597868627371222
ENSDARG00000021566	OTOP1	0.04278042136168483	0.494327271935028
ENSDARG00000059841	exosc1	0.0432416102737348	0.327211686488167
ENSDARG00000035890	fuca1.1	0.04351484247425759	-0.2573169140988324
ENSDARG00000069185	celsr1a	0.04351484247425759	0.20364228446065877
ENSDARG00000054033	hoxb1b	0.04351484247425759	-0.33468620327317333
ENSDARG00000055290	mpeg1.1	0.0443445783071633	-0.4875342632324091
ENSDARG00000045695	myca	0.04469080428762966	-0.23753439190305908
ENSDARG00000056767	itgb3a	0.04471223057152933	0.50471395439429
ENSDARG00000061214	lpin2	0.04474099024208029	0.20530080243778984
ENSDARG00000022615	si:ch211-241e1.3	0.04474099024208029	0.5613755098139306
ENSDARG00000097924	CU464134.1	0.04536831600021636	-0.7125858014444022
ENSDARG00000013076	bmi1b	0.04557192042708069	-0.2891419176071087
ENSDARG00000014244	rbmx	0.04557192042708069	-0.1541297090175859
ENSDARG00000038524	pik3r1	0.04557192042708069	-0.09740683792899398
ENSDARG00000029476	ldlra	0.04636606455889611	0.2367694312717618
ENSDARG00000012747	rer1	0.04636606455889611	-0.2749924589402686
ENSDARG00000101285	anapc15	0.04696216988610278	-0.43266861179407257
ENSDARG00000017489	ifi45	0.04747651689536233	-0.6421933283848587
ENSDARG00000036695	calcoco1a	0.04771194982388804	0.14644980204329588
ENSDARG00000116122	CABZ01067150.2	0.04771194982388804	0.8050571755161496
ENSDARG00000099742	heatr1	0.04805719031697279	0.1731580917311517
ENSDARG00000010601	mtmr10	0.04836560936383286	-0.23422256043208495
ENSDARG00000007377	odc1	0.04840681867526485	-0.2675045917938079
ENSDARG00000043105	qtrt1	0.04872728468376799	-0.497999598880368
ENSDARG00000005616	bfb	0.04906497926007256	-0.3431762846641104
